name,brand,year,cost,discount,color,memory_size_Gb,dual_sim,discounted_goods
Samsung Galaxy A50,Samsung,2019.0,14350,2640,Black,64.0,0.0,0.0
Samsung Galaxy A50,Samsung,2019.0,14990,2000,Blue,64.0,0.0,0.0
Samsung Galaxy A50,Samsung,2019.0,14150,2840,White,64.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Black,32.0,0.0,0.0
Samsung Galaxy A40,Samsung,2019.0,12950,3040,Black,64.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Blue,32.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Red,32.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,Black,128.0,0.0,0.0
Samsung Galaxy A70,Samsung,2019,20990,5000,White,128.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14990,1000,Green,64.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,Green,128.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16350,0,Blue,64.0,0.0,0.0
Samsung Galaxy A70,Samsung,2019,21990,4000,Blue,128.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,18250,0,White,128.0,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,12290,0,Black,64.0,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,Blue,64.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14490,3000,Black,64.0,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,12290,0,Blue,64.0,0.0,0.0
Xiaomi Redmi 8 4,Xiaomi,,9590,900,Red,64.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,18250,0,Blue,128.0,0.0,0.0
Xiaomi Redmi 8 4,Xiaomi,,9590,900,Blue,64.0,0.0,0.0
Huawei Honor 9X 4,Huawei,,13290,1700,Blue,128.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,15990,0,Blue,128.0,0.0,0.0
Philips Xenium E580,Philips,,4155,0,Black,,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,Black,64,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,11990,0,White,64,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16490,0,Grey,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,White,64,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14750,1240,White,64,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14990,1000,Blue,64,0.0,0.0
Xiaomi Redmi Note 7 4,Xiaomi,,12490,2500,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,White,128,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16490,0,White,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Black,128,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,6190,800,Blue,32,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,5890,700,Black,16,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,6390,600,Black,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,11150,2840,White,32,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,24990,3000,Black,128,0.0,0.0
Samsung Galaxy A51,Samsung,,16790,0,Prism Crush Black,64,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,White,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Red,128,0.0,0.0
Samsung Galaxy A51,Samsung,,19650,0,White,128,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,13290,0,Grey,128,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Black,32,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,25490,2500,Blue,128,0.0,0.0
Samsung Galaxy A51,Samsung,,19450,0,Prism Crush Black,128,0.0,0.0
Samsung Galaxy A40,Samsung,2019,13990,0,White,64,0.0,0.0
Samsung Galaxy A30S,Samsung,,11250,2740,Purple,32,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11990,3800,Black,128,0.0,0.0
Samsung Galaxy A51,Samsung,,16790,0,White,64,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,Grey,128,0.0,0.0
Samsung Galaxy A30S,Samsung,,11250,2740,Black,32,0.0,0.0
Philips S561,Philips,,6650,0,Black,,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Blue,32,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,Grey,64,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,Grey,32,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8650,1140,Blue,32,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Red,32,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,10290,0,White,32,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,5750,840,Blue,16,0.0,0.0
Huawei Nova 5T 6,Huawei,,19990,5000,Blue,128,0.0,0.0
Samsung Galaxy A50S 6,Samsung,,18490,0,White,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,12590,2900,White,128,0.0,0.0
OnePlus 7T Pro 8,OnePlus,,45990,9000,Nebula Blue,256,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8650,1140,Black,32,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,12490,3300,Blue,128,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,Blue,32,0.0,0.0
Huawei Nova 5T 6,Huawei,,19990,5000,Purple,128,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,White,32,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Black,64,0.0,0.0
Xiaomi Mi Max 3 4,Xiaomi,,11290,1500,Black,64,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,10290,2300,Blue,32,0.0,0.0
Samsung Galaxy A20S,Samsung,,10490,2500,Red,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,12990,2000,Black,64,0.0,0.0
Samsung Galaxy J2 SM-J250,Samsung,2018,5750,3240,Black,,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,12490,2400,Black,128,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Blue,64,0.0,0.0
Samsung Galaxy A50S 6,Samsung,,18490,0,Black,128,0.0,0.0
Huawei Honor 9X 4,Huawei,,13490,1500,Black,128,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,9990,2600,Black,32,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Red,64,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,29990,0,Black,128,0.0,0.0
Xiaomi Pocophone F1 6,Xiaomi,,17250,0,Blue,128,0.0,0.0
OnePlus 7T 8,OnePlus,,37990,1500,Nebula Blue,256,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Black,,0.0,0.0
Samsung Galaxy A20S,Samsung,,9990,3000,Black,32,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Gold,,0.0,0.0
Samsung Galaxy A20S,Samsung,,9990,3000,Blue,32,0.0,0.0
Meizu Note 9 4,Meizu,,12550,3440,Blue,128,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Black,32,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Blue,,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,25990,2000,Red,128,0.0,0.0
Huawei Honor 9X Premium 6,Huawei,,14990,2000,Black,128,0.0,0.0
Xiaomi Redmi 7 3,Xiaomi,,8150,1840,Blue,32,0.0,0.0
OnePlus 7T 8,OnePlus,,37990,2000,Silver,256,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11990,3800,Pink,128,0.0,0.0
Xiaomi Redmi 6 4,Xiaomi,,7790,0,Black,64,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11790,0,White,128,0.0,0.0
Philips Xenium E255,Philips,,2855,0,Blue,,0.0,0.0
Meizu C9,Meizu,,4990,0,Black,,0.0,0.0
Huawei Honor 20 6,Huawei,,20490,5500,Blue,128,0.0,0.0
Philips Xenium E182,Philips,,2965,0,Blue,,0.0,0.0
Meizu Note 9 4,Meizu,,11950,0,Blue,64,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Blue,32,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8490,1300,Red,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,12750,2240,Purple,64,0.0,0.0
Samsung Galaxy J2 Core SM-J260,Samsung,,5055,935,Gold,,0.0,0.0
Alcatel 3X 5048Y DS 4,Alcatel,2019,8250,0,Green,64,0.0,0.0
Samsung Galaxy A40,Samsung,2019,13990,0,Red,64,0.0,0.0
Nokia 2.2 2 16 Gb,Nokia,,5350,0,Black,,0.0,0.0
Huawei Honor 20 6,Huawei,,20490,5500,Black,128,0.0,0.0
Meizu C9 Pro,Meizu,,4990,0,Gold,,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,28450,0,White,128,0.0,0.0
Nokia 6.2 3,Nokia,,11390,0,Ice,32,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,Blue,64,0.0,0.0
Xiaomi Mi Max 3 4,Xiaomi,,10590,2200,Gold,64,0.0,0.0
OnePlus 7T 8,OnePlus,,34990,2000,Nebula Blue,128,0.0,0.0
Nokia 2.2 2 16 Gb,Nokia,,5350,0,Silver,,0.0,0.0
Huawei Honor 10i,Huawei,,11790,2200,Blue,128,0.0,0.0
Huawei Honor 10 Lite 3,Huawei,,9790,2200,Sapphire Blue,64,0.0,0.0
Meizu 15 Lite 4,Meizu,,8650,0,Red,64,0.0,0.0
Huawei Honor 7A,Huawei,,5250,1240,Blue,,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,White,128,0.0,0.0
Samsung Galaxy J2 Core SM-J260,Samsung,,5055,935,Black,,0.0,0.0
Philips Xenium E109,Philips,,975,0,Black,,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,28450,0,Green,128,0.0,0.0
Alcatel 3X 5048Y DS 4,Alcatel,2019,8250,0,Black,64,0.0,0.0
Huawei Honor 20 Pro 8,Huawei,,27490,7500,Coral White,256,0.0,0.0
Huawei Honor 7A,Huawei,,5250,1240,Black,,0.0,0.0
Vertex S108,Vertex,,1645,0,Black,,0.0,0.0
Huawei Honor 20S 6,Huawei,,15290,2700,Blue,128,0.0,0.0
Huawei P smart Z 4,Huawei,,11890,1100,Green,64,0.0,0.0
Xiaomi Redmi 6 4,Xiaomi,,7790,0,Blue,64,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,Blue,64,0.0,0.0
Google Pixel 3a,Google,,25490,9500,White,64,0.0,0.0
Meizu Note 8 4,Meizu,,8450,3540,Black,64,0.0,0.0
Philips Xenium E255,Philips,,2855,0,Black,,0.0,0.0
Itel it5606 City,Itel,,699,0,Blue,,0.0,0.0
Nokia 6.2 3,Nokia,,11450,0,Black,32,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Black,32,0.0,0.0
Meizu 16X 6,Meizu,,13490,6500,Midnight Black,64,0.0,0.0
Huawei Honor 20S 6,Huawei,,15290,2700,Black,128,0.0,0.0
Realme 5 Pro 4,Realme,,12750,0,Blue,128,0.0,0.0
Philips Xenium E169,Philips,,1599,0,Dark Grey,,0.0,0.0
Meizu Note 9 4,Meizu,,11950,1640,Black,64,0.0,0.0
Huawei P30 lite,Huawei,,14290,1700,Blue,,0.0,0.0
Xiaomi Redmi Note 7 3,Xiaomi,,10290,0,Blue,32,0.0,0.0
Huawei Honor 10i,Huawei,,11790,2200,Red,128,0.0,0.0
Samsung Galaxy A30S,Samsung,,12750,2240,White,64,0.0,0.0
Meizu C9 Pro,Meizu,,5290,0,Black,,0.0,0.0
Xiaomi Mi Note 10 Pro 8,Xiaomi,,35490,0,Black,256,0.0,0.0
Realme 5 Pro 4,Realme,,12750,0,Green,128,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Gold,32,0.0,0.0
Xiaomi Redmi Note 7 3,Xiaomi,,10390,0,Black,32,0.0,0.0
Vertex C311,Vertex,,1465,0,Blue,,0.0,0.0
Huawei Honor 10 Lite 3,Huawei,,9790,2200,Midnight Black,64,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Rose Gold,32,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,White,64,0.0,0.0
Caterpillar S61,Caterpillar,,46490,0,Black,,0.0,0.0
Huawei Honor 8A Pro,Huawei,,9690,1300,Blue,,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,Black,64,0.0,0.0
Huawei Honor 20 Pro 8,Huawei,,27490,7500,Phantom Black,256,0.0,0.0
Alcatel 1S 5024D Metallic,Alcatel,2019,5325,0,Gold,,0.0,0.0
Huawei Y6,Huawei,2019,6990,1000,Brown,,0.0,0.0
Philips Xenium E109,Philips,,975,0,Red,,0.0,0.0
Xiaomi Redmi 7 3,Xiaomi,,9490,1500,Red,64,0.0,0.0
Philips Xenium E255 White,Philips,,2855,0,White ,,0.0,0.0
Samsung Galaxy A50,Samsung,2019,17990,5000,White,128,0.0,0.0
Xiaomi Mi Note 10 Pro 8,Xiaomi,,34990,0,Green,256,0.0,0.0
Huawei Honor 20 6,Huawei,,20490,5500,White,128,0.0,0.0
Huawei P smart Z 4,Huawei,,11890,1100,Blue,64,0.0,0.0
Huawei Honor 10i,Huawei,,11790,2200,Black,128,0.0,0.0
Huawei P30 6,Huawei,,29990,3000,Blue,128,0.0,0.0
Xiaomi Mi Mix 3 5G 6,Xiaomi,,23950,0,Blue,128,0.0,0.0
Samsung Galaxy A10S 2,Samsung,,8990,0,Red,32,0.0,0.0
Realme 5 3,Realme,,10450,0,Purple,64,0.0,0.0
Xiaomi Redmi 7 2,Xiaomi,,7250,0,Black,16,0.0,0.0
Lenovo S5,Lenovo,,8490,1500,Black,64,0.0,0.0
Realme 5 3,Realme,,10450,0,Blue,64,0.0,0.0
Meizu Note 8 4,Meizu,,8290,0,Purple,64,0.0,0.0
Caterpillar S60,Caterpillar,,27290,0,Black,,0.0,0.0
Nokia 2.3,Nokia,,6650,0,Green,32,1.0,0.0
Wigor V3,Wigor,,4525,0,Black,,0.0,0.0
Samsung Galaxy A51,Samsung,,16790,0,Red,64,0.0,0.0
Itel it5630,Itel,,1349,0,Grey,,0.0,0.0
Samsung Galaxy A50S 4,Samsung,,16890,0,Black,128,0.0,0.0
Samsung Galaxy A50S 4,Samsung,,16890,0,Violet,128,0.0,0.0
Realme XT 8,Realme,,16750,0,White,128,0.0,0.0
Nokia 7.2,Nokia,,15890,0,Charcoal,64,0.0,0.0
Philips S397,Philips,,5090,0,Dark Gray,,0.0,0.0
Xiaomi Redmi 7 3,Xiaomi,,9490,1500,Blue,64,0.0,0.0
Wigor H3,Wigor,,3150,830,Black,,0.0,0.0
Tp-Link Neffos C9 Max Nebula,Tp-Link,,5025,0,Black,,0.0,0.0
Xiaomi Redmi 7 2,Xiaomi,,7250,0,Blue,16,0.0,0.0
Huawei P30 lite,Huawei,,14290,1700,Black,,0.0,0.0
Huawei Y6,Huawei,2019,6990,1000,Black,,0.0,0.0
Apple iPhone XR,Apple,,43790,0,Black,64,0.0,0.0
Xiaomi Mi Mix 3 5G 6,Xiaomi,,20990,0,Blue,64,0.0,0.0
Nokia 7.2,Nokia,,16090,0,Green,64,0.0,0.0
Itel it2160,Itel,,545,0,Black,,0.0,0.0
Huawei Honor 10 Lite 3,Huawei,,9990,3000,Midnight Black,32,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Gold,32,0.0,0.0
Samsung Galaxy A01,Samsung,,6850,0,Blue,,0.0,0.0
Alcatel 3X 5048Y DS 4,Alcatel,2019,8250,0,Pink,64,0.0,0.0
Nokia 3.2 2,Nokia,,6490,0,Silver,16,0.0,0.0
Huawei Y6,Huawei,2019,6990,1000,Blue,,0.0,0.0
Apple iPhone XR,Apple,,43790,0,Product Red,64,0.0,0.0
Caterpillar Cat S41,Caterpillar,,21790,0,Black,,0.0,0.0
Nokia 2.3,Nokia,,6650,0,Black,32,1.0,0.0
Tecno Camon 12 Air Alpenglow,Tecno,,7990,0,Gold,,0.0,0.0
LG V40 ThinQ 6,LG,,30990,0,Moroccan Blue,128,0.0,0.0
Itel it2590 Deep,Itel,,1219,0,Blue,,0.0,0.0
Apple iPhone 7 Plus,Apple,,30490,5300,Rose Gold,32,0.0,0.0
Itel it2160 Deep,Itel,,545,0,Grey,,0.0,0.0
Nokia 8.1,Nokia,,25490,0,Blue,64,0.0,0.0
Tecno Pop 2S Stardust,Tecno,,5035,0,Blue,,0.0,0.0
Alcatel 3 5053K Blue,Alcatel,2019,11290,0,Purple,,0.0,0.0
Huawei P30 Pro 8,Huawei,,44990,5000,Blue,256,0.0,0.0
Apple iPhone 8 Plus,Apple,,38890,0,Gold,64,0.0,0.0
Nokia 3310,Nokia,2017,3099,0,Red,,1.0,0.0
Xiaomi Black Shark 2 Pro 12,Xiaomi,,40850,0,Iceberg Grey,256,0.0,0.0
ZTE Nubia Red Magic 3s 8,ZTE,,36250,0,Black,128,0.0,0.0
Samsung Galaxy M30 3,Samsung,,11990,0,Blue,32,0.0,0.0
Samsung Galaxy M30 3,Samsung,,11990,0,Black,32,0.0,0.0
Philips Xenium E169,Philips,,1599,0,Red,,0.0,0.0
Digma Linx A105 2G,Digma,,366,0,Black,,0.0,0.0
Huawei Y7,Huawei,2019,8890,1100,Blue,,0.0,0.0
Vertex C311,Vertex,,1465,0,Red,,0.0,0.0
Huawei P30 Pro 8,Huawei,,44990,5000,Green,256,0.0,0.0
Nokia 3310,Nokia,2017,3099,0,Grey,,1.0,0.0
Tecno Camon 12 Air Bay,Tecno,,7990,0,Blue,,0.0,0.0
Apple iPhone 11 Pro,Apple,,77990,0,Midnight Green,64,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,13290,0,White,128,0.0,0.0
Itel it5630 Champagne,Itel,,1349,0,Gold,,0.0,0.0
Itel it5630,Itel,,1349,0,Silver,,0.0,0.0
Philips S260,Philips,,3490,0,Black,,0.0,0.0
Meizu Note 8 4,Meizu,,8290,3700,Red,64,0.0,0.0
Alcatel 1S 5024D Metallic,Alcatel,2019,5325,0,Black,,0.0,0.0
Tecno Pop 2S Aurora,Tecno,,5035,0,Purple,,0.0,0.0
Philips Xenium E125,Philips,,1445,0,Blue,,0.0,0.0
Apple iPhone 7 Plus,Apple,,30490,0,Gold,32,0.0,0.0
Alcatel 3025X,Alcatel,,2435,0,Metallic Gray,,0.0,0.0
Meizu M6T 3,Meizu,,6590,0,Blue,32,0.0,0.0
Apple iPhone XR,Apple,,43790,0,White,64,0.0,0.0
Samsung Galaxy A01,Samsung,,6850,0,Red,,0.0,0.0
Apple iPhone 7,Apple,,30990,0,Black,128,0.0,0.0
LG V40 ThinQ 6,LG,,30990,0,Platinum Grey,128,0.0,0.0
Tp-Link Neffos C9 Max,Tp-Link,,5025,0,Red,,0.0,0.0
Apple iPhone 7 Plus,Apple,,30490,0,Black,32,0.0,0.0
Meizu M10 3,Meizu,,8590,0,Black,32,0.0,0.0
Nokia 2720 Flip,Nokia,,5450,0,Black,,1.0,0.0
Google Pixel 3a xl,Google,,29990,0,Black,64,0.0,0.0
Huawei Y5,Huawei,2019,6290,1700,Blue,32,0.0,0.0
Huawei Y7,Huawei,2019,8890,1100,Black,,0.0,0.0
Apple iPhone 8,Apple,,35490,0,Gold,64,0.0,0.0
Apple iPhone XR,Apple,,43790,0,Yellow,64,0.0,0.0
Nokia 8110 4G,Nokia,,4390,0,Yellow,,0.0,0.0
Samsung Galaxy Note 10+ 12,Samsung,,69990,0,Black,256,0.0,0.0
Nokia 7.2,Nokia,,15890,0,Ice Silver,64,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Silver,32,0.0,0.0
Tecno Spark 4 Air Hillier,Tecno,,5675,0,Purple,,0.0,0.0
Nokia 220 4G,Nokia,,2695,0,Blue,,1.0,0.0
Samsung Galaxy A50S 4,Samsung,,16890,0,White,128,0.0,0.0
Huawei Y5,Huawei,2019,6290,1700,Brown,32,0.0,0.0
Digma Linx A105 2G,Digma,,366,0,Grey,,0.0,0.0
Alcatel 3L 5039D,Alcatel,2019,8495,0,Metallic Blue,,0.0,0.0
Samsung Galaxy M30 4,Samsung,,13490,0,Blue,64,0.0,0.0
Meizu M6T 3,Meizu,,6790,0,Gold,32,0.0,0.0
Apple iPhone XR,Apple,,43790,0,Blue,64,0.0,0.0
Huawei Honor 20S 6,Huawei,,15290,2700,White,128,0.0,0.0
Xiaomi Black Shark 2 Pro 8,Xiaomi,,33490,0,Shadow Black,128,0.0,0.0
Google Pixel 4 6,Google,,44750,10240,Black,64,0.0,0.0
Tp-Link Neffos C9S Nebula,Tp-Link,,4645,0,Black,,0.0,0.0
Realme C2 2,Realme,,6350,0,Blue,32,0.0,0.0
Tp-Link Neffos C7S,Tp-Link,,4225,0,Grey,,0.0,0.0
Tp-Link Neffos C7S,Tp-Link,,4225,0,Red,,0.0,0.0
HTC Wildfire E,HTC,,5950,0,Black,,0.0,0.0
Lenovo A5S,Lenovo,,5490,2050,Black,16,0.0,0.0
Huawei P smart Z 4,Huawei,,11890,1100,Black,64,0.0,0.0
Samsung Galaxy M30 4,Samsung,,13490,0,Black,64,0.0,0.0
Alcatel 3025X Metallic,Alcatel,,2435,0,Silver,,0.0,0.0
Huawei Y5 Lite,Huawei,,4650,1340,Black,,0.0,0.0
Apple iPhone XR,Apple,,47990,0,White,128,0.0,0.0
Samsung Galaxy A71 6,Samsung,,28490,0,Prism Crush Black,128,0.0,0.0
Nokia 2.3,Nokia,,6550,0,Sand,32,1.0,0.0
Samsung Galaxy A01,Samsung,,6850,0,Black,,0.0,0.0
Vertex C312,Vertex,,799,0,Black White,,0.0,0.0
Xiaomi Black Shark 2 Pro 8,Xiaomi,,33490,0,Iceberg Grey,128,0.0,0.0
ZTE Nubia Red Magic 3s 8,ZTE,,36790,0,Grey,128,0.0,0.0
Tp-Link Neffos C9S,Tp-Link,,4645,0,Red,,0.0,0.0
Apple iPhone 7 Plus,Apple,,36990,0,Black,128,0.0,0.0
Itel it2160,Itel,,545,0,Dark Blue,,0.0,0.0
Nokia 130,Nokia,,1650,0,Grey,,1.0,0.0
Motorola Moto G7 Power,Motorola,,13290,0,Black,,0.0,0.0
Digma Linx A105 2G,Digma,,366,0,Dark Blue,,0.0,0.0
Tecno Spark 3 Pro Nebula,Tecno,,6049,0,Black,,0.0,0.0
Alcatel 3L 5039D Anthracite,Alcatel,2019,8495,0,Black,,0.0,0.0
Philips Xenium E125,Philips,,1445,0,Black,,0.0,0.0
Samsung Galaxy S10 8,Samsung,,49490,10500,Black,128,0.0,0.0
Samsung Galaxy S10 8,Samsung,,49490,10500,White,128,0.0,0.0
Nokia 3310,Nokia,2017,3145,0,Dark Blue,,1.0,0.0
Alcatel 2003D,Alcatel,,1190,0,Metallic Blue,,0.0,0.0
Nokia 8110 4G,Nokia,,4390,0,Black,,0.0,0.0
Alcatel 1066D,Alcatel,,765,0,Black,,0.0,0.0
Samsung Galaxy A51,Samsung,,19450,0,Red,128,0.0,0.0
Huawei P30 Lite New Edition,Huawei,,18990,1000,Blue,,0.0,0.0
Alcatel 1V Pine,Alcatel,2020,5990,0,Green,,0.0,0.0
Alcatel 1S Power,Alcatel,2020,6990,0,Gray,,0.0,0.0
Xiaomi Redmi 6 3,Xiaomi,,5990,0,Blue,32,0.0,1.0
Xiaomi Black Shark 2 8,Xiaomi,,29990,0,Shadow Black,128,0.0,0.0
Itel A46 2,Itel,,4450,0,Neon Water,16,0.0,0.0
Nokia 220 4G,Nokia,,2695,0,Black,,1.0,0.0
Itel it4510 Red,Itel,,999,0,Black,,0.0,0.0
ZTE Nubia Red Magic 3 8,ZTE,,33990,0,Black,128,0.0,0.0
Xiaomi Mi Mix 2S,Xiaomi,,13990,0,White,64,0.0,1.0
Apple iPhone 8,Apple,,38790,0,Silver,128,0.0,0.0
Realme C2 2,Realme,,6490,0,Black,32,0.0,0.0
Tp-Link Neffos X20 Pro Obsidian,Tp-Link,,6990,0,Black,,0.0,0.0
Tp-Link Neffos X20 2,Tp-Link,,5790,0,Black,32,0.0,0.0
Tp-Link Neffos X20 2,Tp-Link,,5790,0,Red,32,0.0,0.0
Nokia 130,Nokia,,1650,0,Red,,1.0,0.0
Meizu Note 8 4,Meizu,,9290,0,M822H Black,64,0.0,0.0
Tp-Link Neffos C7 Lite,Tp-Link,,3795,0,Grey,,0.0,0.0
Alcatel 2019G metallic silver,Alcatel,,1745,0,Black,,0.0,0.0
Huawei Y5,Huawei,2019,6290,1700,Black,32,0.0,0.0
Digma Linx X1 Pro 3G,Digma,,3635,0,Black,,0.0,0.0
Alcatel 3 5053K Blue,Alcatel,2019,11345,0,Black,,0.0,0.0
Samsung Galaxy S10+ 8,Samsung,,56490,8500,Black,128,0.0,0.0
Apple iPhone XR,Apple,,47990,0,Product Red,128,0.0,0.0
Tp-Link Neffos C9A,Tp-Link,,4325,0,Grey,,0.0,0.0
ZTE Nubia Z17S 8,ZTE,,19990,0,Blue,128,0.0,0.0
Tp-Link Neffos C9A,Tp-Link,,4325,0,Silver,,0.0,0.0
Xiaomi Redmi Go 1 8Gb,Xiaomi,,4790,0,Black,,0.0,0.0
Apple iPhone XR,Apple,,47990,0,Black,128,0.0,0.0
Caterpillar Cat S31,Caterpillar,,15750,0,Black,,0.0,0.0
Alcatel 2053D Volcano,Alcatel,,1649,0,Black,,0.0,0.0
Samsung Galaxy A71 6,Samsung,,27950,0,Blue,128,0.0,0.0
Huawei P30 Lite New Edition,Huawei,,18990,1000,Black,,0.0,0.0
Alcatel 1V Prime,Alcatel,2020,5990,0,Black,,0.0,0.0
Samsung Galaxy Note 10+ 12,Samsung,,69990,0,Aura Glow,256,0.0,0.0
Samsung Galaxy Note 10 8,Samsung,,59990,0,Black,256,0.0,0.0
Digma Citi 653,Digma,,7750,0,Blue,,0.0,0.0
Joy's S8 Gray,Joy's,,649,0,Charcoal,,0.0,0.0
Apple iPhone 7,Apple,,30990,0,Silver,128,0.0,0.0
Xiaomi Redmi K30 8,Xiaomi,,24990,0,Purple,256,0.0,0.0
Tecno Spark 4 Air Nebula,Tecno,,5675,0,Black,,0.0,0.0
Vertex D514 Black,Vertex,,1499,0,Silver,,0.0,0.0
Xiaomi Redmi 6A 3,Xiaomi,,4490,0,Grey,32,0.0,1.0
Tecno Spark 4 Misty,Tecno,,6490,0,Grey,,0.0,0.0
Tecno Spark 4 Royal,Tecno,,6490,0,Purple,,0.0,0.0
Black Fox B4 mini,Black,,3285,0,Black,,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,5490,0,Red,32,0.0,1.0
Vertex D555,Vertex,,1145,0,Black,,0.0,0.0
Vertex D555,Vertex,,1145,0,Red,,0.0,0.0
Tp-Link Neffos X20 Pro,Tp-Link,,6990,0,Green,,0.0,0.0
Nokia 105,Nokia,2019,1045,0,Black,,0.0,0.0
